# C+CO2(ji) -> C+CO2(jf) molscat cross sections, CS8_JMAX90 approx. (written on 08/06/2020); 
# E=33240.000000 (1/cm) = 4.12123472135 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0    0 1.44553e+02
  0    2 1.83542e+01
  0    4 5.42836e+00
  0    6 2.22160e+00
  0    8 1.58754e+00
  0   10 1.88243e+00
  0   12 1.27828e+00
  0   14 1.01779e+00
  0   16 1.12326e+00
  0   18 9.38453e-01
  0   20 7.57783e-01
  0   22 7.87406e-01
  0   24 7.48084e-01
  0   26 7.14992e-01
  0   28 7.05069e-01
  0   30 5.67888e-01
  0   32 7.39343e-01
  0   34 6.44326e-01
  0   36 7.58944e-01
  0   38 4.92452e-01
  0   40 5.92779e-01
  0   42 5.54712e-01
  0   44 6.05386e-01
  0   46 5.99158e-01
  0   48 6.92846e-01
  0   50 7.48579e-01
  0   52 6.93473e-01
  0   54 6.30273e-01
  0   56 5.46402e-01
  0   58 4.84994e-01
  0   60 4.83842e-01
  0   62 4.56037e-01
  0   64 3.77102e-01
  0   66 4.96864e-01
  0   68 5.17885e-01
  0   70 4.21324e-01
  0   72 4.16003e-01
  0   74 5.10756e-01
  0   76 3.85841e-01
  0   78 4.57035e-01
  0   80 4.28676e-01
  0   82 3.08543e-01
  0   84 4.30080e-01
  0   86 3.15083e-01
  0   88 3.57393e-01
  0   90 2.83545e-01
  1    1 1.51761e+02
  1    3 1.34087e+01
  1    5 4.05587e+00
  1    7 1.89916e+00
  1    9 1.73007e+00
  1   11 1.63058e+00
  1   13 1.17391e+00
  1   15 1.12460e+00
  1   17 1.07066e+00
  1   19 8.76950e-01
  1   21 7.89181e-01
  1   23 7.80744e-01
  1   25 7.77993e-01
  1   27 7.74373e-01
  1   29 6.74764e-01
  1   31 6.54196e-01
  1   33 6.44852e-01
  1   35 6.21428e-01
  1   37 5.95539e-01
  1   39 5.26778e-01
  1   41 5.64261e-01
  1   43 5.85974e-01
  1   45 6.66919e-01
  1   47 6.23238e-01
  1   49 7.20348e-01
  1   51 6.96050e-01
  1   53 6.27365e-01
  1   55 5.17865e-01
  1   57 5.92161e-01
  1   59 4.84642e-01
