# C+CO2(ji) -> C+CO2(jf) molscat cross sections, CS8_JMAX90 approx. (written on 08/06/2020); 
# E=11240.000000 (1/cm) = 1.3935823787 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0    0 1.97155e+02
  0    2 2.62737e+01
  0    4 1.05548e+01
  0    6 4.40797e+00
  0    8 2.53217e+00
  0   10 1.60580e+00
  0   12 1.34670e+00
  0   14 1.39395e+00
  0   16 1.05888e+00
  0   18 9.21447e-01
  0   20 1.05584e+00
  0   22 9.33147e-01
  0   24 8.06460e-01
  0   26 8.40768e-01
  0   28 8.13056e-01
  0   30 6.94825e-01
  0   32 7.00562e-01
  0   34 6.60771e-01
  0   36 6.01989e-01
  0   38 5.99210e-01
  0   40 5.57254e-01
  0   42 5.92182e-01
  0   44 5.70568e-01
  0   46 5.48825e-01
  0   48 5.54804e-01
  0   50 5.55841e-01
  0   52 6.11632e-01
  0   54 6.41621e-01
  0   56 5.71015e-01
  0   58 7.06714e-01
  0   60 6.11597e-01
  0   62 8.55484e-01
  0   64 5.91282e-01
  0   66 7.56233e-01
  0   68 5.91129e-01
  0   70 5.56242e-01
  0   72 5.00351e-01
  0   74 4.20046e-01
  0   76 5.25897e-01
  0   78 4.79977e-01
  0   80 4.81228e-01
  0   82 4.78549e-01
  0   84 4.85388e-01
  0   86 5.94397e-01
  0   88 2.53580e-01
  0   90 4.34607e-01
  1    1 2.07863e+02
  1    3 2.04336e+01
  1    5 7.90402e+00
  1    7 3.57891e+00
  1    9 2.10798e+00
  1   11 1.49669e+00
  1   13 1.37953e+00
  1   15 1.24624e+00
  1   17 1.00477e+00
  1   19 9.95928e-01
  1   21 1.00997e+00
  1   23 8.84242e-01
  1   25 8.30288e-01
  1   27 8.16961e-01
  1   29 7.53058e-01
  1   31 6.95348e-01
  1   33 6.67619e-01
  1   35 6.24237e-01
  1   37 6.00147e-01
  1   39 6.02887e-01
  1   41 5.63904e-01
  1   43 5.53116e-01
  1   45 5.75036e-01
  1   47 5.42608e-01
  1   49 5.67877e-01
  1   51 6.16286e-01
  1   53 6.34514e-01
  1   55 5.98225e-01
  1   57 6.56963e-01
