# C+CO2(ji) -> C+CO2(jf) molscat cross sections, CS8_JMAX90 approx. (written on 08/06/2020); 
# E=28240.000000 (1/cm) = 3.50131373439 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0    0 1.45637e+02
  0    2 2.00731e+01
  0    4 6.00399e+00
  0    6 2.23402e+00
  0    8 1.60265e+00
  0   10 1.97337e+00
  0   12 1.24388e+00
  0   14 1.11584e+00
  0   16 1.17158e+00
  0   18 9.41696e-01
  0   20 7.65726e-01
  0   22 8.36626e-01
  0   24 7.10202e-01
  0   26 7.14643e-01
  0   28 6.31119e-01
  0   30 6.79467e-01
  0   32 6.46915e-01
  0   34 6.16290e-01
  0   36 7.68978e-01
  0   38 6.39651e-01
  0   40 5.64043e-01
  0   42 4.95692e-01
  0   44 5.54466e-01
  0   46 5.76965e-01
  0   48 6.55523e-01
  0   50 7.36257e-01
  0   52 6.63130e-01
  0   54 6.69838e-01
  0   56 7.36676e-01
  0   58 5.78092e-01
  0   60 4.96145e-01
  0   62 4.13908e-01
  0   64 3.69499e-01
  0   66 4.20325e-01
  0   68 5.58242e-01
  0   70 3.74619e-01
  0   72 3.23787e-01
  0   74 5.14467e-01
  0   76 4.24642e-01
  0   78 5.85903e-01
  0   80 4.53667e-01
  0   82 2.99095e-01
  0   84 3.75898e-01
  0   86 3.66574e-01
  0   88 3.32944e-01
  0   90 4.83112e-01
  1    1 1.53540e+02
  1    3 1.46745e+01
  1    5 4.40630e+00
  1    7 1.92907e+00
  1    9 1.84821e+00
  1   11 1.58894e+00
  1   13 1.20550e+00
  1   15 1.14676e+00
  1   17 1.09291e+00
  1   19 8.67211e-01
  1   21 8.31294e-01
  1   23 7.59514e-01
  1   25 7.00455e-01
  1   27 8.26990e-01
  1   29 6.79719e-01
  1   31 6.73454e-01
  1   33 6.42788e-01
  1   35 6.71757e-01
  1   37 6.05899e-01
  1   39 5.59599e-01
  1   41 5.40431e-01
  1   43 5.70960e-01
  1   45 5.77187e-01
  1   47 6.74143e-01
  1   49 6.51222e-01
  1   51 6.57580e-01
  1   53 6.84842e-01
  1   55 6.00710e-01
  1   57 7.30411e-01
  1   59 5.18797e-01
  1   61 4.27508e-01
  1   63 3.89318e-01
  1   65 4.05175e-01
  1   67 5.87132e-01
  1   69 5.51392e-01
  1   71 4.31406e-01
  1   73 4.66079e-01
  1   75 4.01559e-01
  1   77 4.87309e-01
  1   79 3.82281e-01
  1   81 3.30994e-01
  1   83 3.81202e-01
  1   85 4.78333e-01
  1   87 3.69859e-01
  1   89 4.28210e-01
  2    0 4.01495e+00
  2    2 1.53046e+02
  2    4 1.25974e+01
  2    6 3.81135e+00
  2    8 2.00982e+00
  2   10 1.63329e+00
  2   12 1.51210e+00
  2   14 1.24959e+00
  2   16 1.10763e+00
  2   18 1.04164e+00
  2   20 8.76963e-01
  2   22 7.79579e-01
  2   24 7.04091e-01
  2   26 7.37283e-01
  2   28 6.91825e-01
  2   30 6.89330e-01
  2   32 7.01449e-01
  2   34 6.38532e-01
  2   36 6.55961e-01
  2   38 6.39088e-01
  2   40 5.42677e-01
  2   42 5.74712e-01
  2   44 5.64714e-01
  2   46 5.82210e-01
  2   48 5.85746e-01
  2   50 6.45998e-01
  2   52 7.21369e-01
  2   54 6.49101e-01
  2   56 7.00850e-01
  2   58 5.41646e-01
  2   60 5.03646e-01
  2   62 4.13495e-01
  2   64 4.26850e-01
  2   66 4.43150e-01
  2   68 4.61950e-01
  2   70 4.20737e-01
  2   72 4.15662e-01
  2   74 4.18296e-01
  2   76 3.95923e-01
  2   78 4.79180e-01
  2   80 4.80837e-01
  2   82 3.47881e-01
  2   84 3.78936e-01
  2   86 4.02592e-01
  2   88 3.64362e-01
  2   90 4.36208e-01
  3    1 6.28994e+00
  3    3 1.52609e+02
  3    5 1.16964e+01
  3    7 3.77274e+00
  3    9 1.85097e+00
  3   11 1.51270e+00
  3   13 1.47903e+00
  3   15 1.12077e+00
