# C+CO2(ji) -> C+CO2(jf) molscat cross sections, CS8_JMAX90 approx. (written on 08/06/2020); 
# E=39240.000000 (1/cm) = 4.86513990571 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0    0 1.45411e+02
  0    2 1.65912e+01
  0    4 4.93676e+00
  0    6 2.27795e+00
  0    8 1.52044e+00
  0   10 1.79213e+00
  0   12 1.24477e+00
  0   14 1.02476e+00
  0   16 1.07244e+00
  0   18 9.41200e-01
  0   20 7.67313e-01
  0   22 7.84405e-01
  0   24 8.12521e-01
  0   26 7.14513e-01
  0   28 6.81701e-01
  0   30 5.86380e-01
  0   32 7.58563e-01
  0   34 6.28871e-01
  0   36 6.72612e-01
  0   38 5.56054e-01
  0   40 6.37254e-01
  0   42 5.28624e-01
  0   44 5.62283e-01
  0   46 7.27191e-01
  0   48 7.54352e-01
  0   50 6.58338e-01
  0   52 6.49309e-01
  0   54 5.48608e-01
  0   56 5.51191e-01
  0   58 4.45810e-01
  0   60 4.47011e-01
  0   62 4.04414e-01
  0   64 3.61125e-01
  0   66 5.09168e-01
  0   68 5.31496e-01
  0   70 5.04309e-01
  0   72 6.59148e-01
  0   74 4.10659e-01
  0   76 3.35977e-01
  0   78 3.13019e-01
  0   80 2.37153e-01
  0   82 3.50624e-01
  0   84 2.97134e-01
  0   86 4.14987e-01
  0   88 2.72002e-01
  0   90 2.78468e-01
  1    1 1.52085e+02
  1    3 1.20999e+01
  1    5 3.81443e+00
  1    7 1.89883e+00
  1    9 1.66439e+00
  1   11 1.58181e+00
  1   13 1.14610e+00
  1   15 1.11568e+00
  1   17 1.08622e+00
  1   19 8.25519e-01
  1   21 7.66959e-01
  1   23 8.12970e-01
  1   25 7.71871e-01
  1   27 7.24617e-01
  1   29 6.96596e-01
  1   31 6.79241e-01
  1   33 6.33874e-01
  1   35 6.06341e-01
  1   37 6.07983e-01
  1   39 6.09676e-01
  1   41 5.83946e-01
  1   43 5.75731e-01
  1   45 6.54723e-01
  1   47 7.59453e-01
  1   49 6.96555e-01
  1   51 6.14255e-01
  1   53 5.56142e-01
  1   55 5.31770e-01
  1   57 5.07598e-01
  1   59 4.82947e-01
  1   61 4.30393e-01
  1   63 4.07417e-01
  1   65 4.52947e-01
  1   67 5.17852e-01
  1   69 5.13635e-01
  1   71 4.99559e-01
  1   73 6.02042e-01
  1   75 4.34049e-01
  1   77 3.37624e-01
  1   79 2.55420e-01
  1   81 2.44123e-01
  1   83 3.79190e-01
  1   85 2.81407e-01
  1   87 3.02351e-01
  1   89 2.84192e-01
  2    0 3.31845e+00
  2    2 1.51541e+02
  2    4 1.05387e+01
  2    6 3.27102e+00
  2    8 1.96247e+00
  2   10 1.57195e+00
  2   12 1.40625e+00
  2   14 1.19482e+00
  2   16 1.03015e+00
  2   18 1.01189e+00
  2   20 8.28904e-01
  2   22 8.47129e-01
  2   24 7.27569e-01
  2   26 7.63194e-01
  2   28 6.46929e-01
  2   30 7.08601e-01
  2   32 7.09804e-01
  2   34 6.37334e-01
  2   36 6.56114e-01
  2   38 5.79032e-01
  2   40 6.25985e-01
  2   42 5.76412e-01
  2   44 6.16089e-01
  2   46 6.52307e-01
  2   48 7.00138e-01
  2   50 6.97426e-01
  2   52 6.27314e-01
  2   54 6.46461e-01
  2   56 4.99137e-01
  2   58 4.78783e-01
  2   60 4.25428e-01
  2   62 4.08830e-01
  2   64 4.04133e-01
  2   66 4.01374e-01
  2   68 4.80133e-01
  2   70 4.94828e-01
  2   72 5.61076e-01
  2   74 4.58011e-01
  2   76 3.52980e-01
  2   78 3.44508e-01
  2   80 2.48182e-01
  2   82 2.57998e-01
  2   84 3.25447e-01
  2   86 3.33177e-01
  2   88 3.48700e-01
  2   90 2.55283e-01
  3    1 5.18620e+00
  3    3 1.51264e+02
  3    5 9.73019e+00
  3    7 3.23352e+00
  3    9 1.85251e+00
  3   11 1.41011e+00
  3   13 1.41646e+00
  3   15 1.15494e+00
  3   17 9.78354e-01
  3   19 9.50283e-01
  3   21 8.46104e-01
  3   23 7.79998e-01
  3   25 7.16383e-01
  3   27 7.48869e-01
  3   29 7.04496e-01
  3   31 6.67418e-01
  3   33 6.75523e-01
  3   35 6.39188e-01
  3   37 6.31146e-01
  3   39 5.75525e-01
  3   41 6.14372e-01
  3   43 6.49893e-01
  3   45 6.72697e-01
  3   47 7.09942e-01
  3   49 6.79666e-01
  3   51 6.63226e-01
  3   53 5.92883e-01
  3   55 5.34309e-01
  3   57 5.01520e-01
  3   59 4.92544e-01
  3   61 4.31274e-01
  3   63 4.36502e-01
  3   65 4.33538e-01
  3   67 4.78559e-01
  3   69 5.33775e-01
  3   71 5.28445e-01
  3   73 5.13675e-01
  3   75 3.84591e-01
  3   77 3.98666e-01
  3   79 2.60745e-01
  3   81 2.55373e-01
  3   83 3.29821e-01
  3   85 3.36118e-01
  3   87 3.18932e-01
  3   89 2.56996e-01
  4    0 5.48638e-01
  4    2 5.85563e+00
  4    4 1.51108e+02
  4    6 9.43745e+00
  4    8 3.06858e+00
  4   10 1.74070e+00
  4   12 1.43301e+00
  4   14 1.33893e+00
  4   16 1.12457e+00
  4   18 9.58874e-01
  4   20 9.11282e-01
  4   22 8.67323e-01
  4   24 7.32122e-01
  4   26 7.23399e-01
  4   28 7.25916e-01
  4   30 6.85762e-01
  4   32 6.70722e-01
  4   34 6.21761e-01
  4   36 7.01809e-01
  4   38 5.72447e-01
  4   40 6.01414e-01
  4   42 5.96479e-01
  4   44 6.43051e-01
  4   46 6.08340e-01
  4   48 6.76469e-01
  4   50 6.75068e-01
  4   52 6.59580e-01
  4   54 5.80992e-01
  4   56 5.26666e-01
  4   58 5.01404e-01
  4   60 4.31932e-01
  4   62 4.43331e-01
  4   64 4.04086e-01
  4   66 4.49732e-01
  4   68 4.94811e-01
  4   70 5.32085e-01
  4   72 5.26805e-01
  4   74 4.58415e-01
  4   76 3.81001e-01
  4   78 3.61086e-01
  4   80 2.82058e-01
  4   82 2.56700e-01
  4   84 2.97663e-01
  4   86 3.60029e-01
  4   88 3.19384e-01
  4   90 2.63900e-01
  5    1 1.04059e+00
  5    3 6.19305e+00
  5    5 1.51246e+02
  5    7 9.14563e+00
  5    9 2.96882e+00
  5   11 1.73558e+00
  5   13 1.36944e+00
  5   15 1.31169e+00
  5   17 1.07899e+00
  5   19 9.45469e-01
  5   21 9.14381e-01
  5   23 8.27847e-01
  5   25 7.68633e-01
  5   27 7.61070e-01
  5   29 7.17242e-01
  5   31 6.78668e-01
  5   33 6.52164e-01
  5   35 6.40099e-01
  5   37 6.27876e-01
  5   39 6.04170e-01
  5   41 6.06540e-01
  5   43 6.31439e-01
  5   45 6.74037e-01
  5   47 6.61744e-01
  5   49 6.57377e-01
  5   51 6.19425e-01
  5   53 6.00220e-01
  5   55 5.25044e-01
  5   57 5.16590e-01
  5   59 4.84680e-01
  5   61 4.34839e-01
  5   63 4.49953e-01
  5   65 4.67679e-01
  5   67 5.13424e-01
  5   69 5.26663e-01
  5   71 4.78599e-01
  5   73 4.89413e-01
  5   75 3.68956e-01
  5   77 3.93096e-01
  5   79 3.04447e-01
  5   81 2.69645e-01
  5   83 3.53028e-01
  5   85 3.23801e-01
  5   87 3.31375e-01
  5   89 3.08482e-01
  6    0 1.75300e-01
  6    2 1.25853e+00
  6    4 6.53505e+00
  6    6 1.51200e+02
  6    8 8.97801e+00
  6   10 2.89995e+00
  6   12 1.68471e+00
  6   14 1.34263e+00
  6   16 1.25778e+00
  6   18 1.03641e+00
  6   20 9.19182e-01
  6   22 9.13828e-01
  6   24 8.11855e-01
  6   26 7.90387e-01
  6   28 7.15462e-01
  6   30 7.30294e-01
  6   32 6.42727e-01
  6   34 6.96455e-01
  6   36 6.29184e-01
  6   38 6.47398e-01
  6   40 6.17139e-01
  6   42 5.94657e-01
  6   44 6.44463e-01
  6   46 6.47899e-01
  6   48 6.73651e-01
  6   50 6.26681e-01
  6   52 6.33288e-01
  6   54 5.94271e-01
  6   56 5.24268e-01
  6   58 4.85858e-01
  6   60 4.55545e-01
  6   62 4.34480e-01
  6   64 4.23406e-01
  6   66 4.65187e-01
  6   68 4.92260e-01
  6   70 5.00601e-01
  6   72 4.73563e-01
  6   74 4.61162e-01
  6   76 3.59291e-01
  6   78 3.91116e-01
  6   80 2.95424e-01
  6   82 2.54858e-01
  6   84 3.39837e-01
  6   86 3.31915e-01
  6   88 3.59921e-01
  6   90 2.67048e-01
  7    1 3.79970e-01
  7    3 1.50964e+00
  7    5 6.70853e+00
  7    7 1.51327e+02
  7    9 8.81864e+00
  7   11 2.85962e+00
  7   13 1.65526e+00
  7   15 1.27788e+00
  7   17 1.22306e+00
  7   19 1.04904e+00
  7   21 8.85885e-01
  7   23 9.06265e-01
  7   25 8.40978e-01
  7   27 7.27058e-01
  7   29 7.58392e-01
  7   31 6.91355e-01
