# C+CO2(ji) -> C+CO2(jf) molscat cross sections, CS8_JMAX90 approx. (written on 08/06/2020); 
# E=1240.000000 (1/cm) = 0.153740404768 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0    0 2.84358e+02
  0    2 4.05280e+01
  0    4 1.57339e+01
  0    6 1.10319e+01
  0    8 8.08521e+00
  0   10 5.29659e+00
  0   12 4.81938e+00
  0   14 4.24035e+00
  0   16 2.90697e+00
  0   18 2.46142e+00
  0   20 2.37587e+00
  0   22 1.81491e+00
  0   24 1.55494e+00
  0   26 1.49095e+00
  0   28 1.36329e+00
  0   30 1.29263e+00
  0   32 1.24668e+00
  0   34 1.05648e+00
  0   36 8.90872e-01
  0   38 8.65194e-01
  0   40 8.78588e-01
  0   42 8.28869e-01
  0   44 6.71743e-01
  0   46 5.77868e-01
  0   48 5.68685e-01
  0   50 5.57915e-01
  0   52 4.88976e-01
  0   54 3.57277e-01
  1    1 3.00852e+02
  1    3 3.11872e+01
  1    5 1.37956e+01
  1    7 9.73456e+00
  1    9 6.76669e+00
  1   11 5.08060e+00
  1   13 4.55587e+00
  1   15 3.59097e+00
  1   17 2.70168e+00
  1   19 2.40552e+00
  1   21 2.07593e+00
  1   23 1.68936e+00
  1   25 1.54921e+00
  1   27 1.41861e+00
  1   29 1.31072e+00
  1   31 1.25872e+00
  1   33 1.16276e+00
  1   35 9.79410e-01
  1   37 8.83976e-01
  1   39 8.64586e-01
  1   41 8.43883e-01
  1   43 7.49085e-01
  1   45 6.28475e-01
  1   47 5.65414e-01
  1   49 5.55733e-01
  1   51 5.35620e-01
  1   53 4.27690e-01
  1   55 2.52379e-01
  2    0 8.12093e+00
  2    2 3.01246e+02
  2    4 2.81225e+01
  2    6 1.25707e+01
  2    8 8.55424e+00
  2   10 6.31777e+00
  2   12 4.85590e+00
  2   14 4.02255e+00
  2   16 3.29208e+00
  2   18 2.60165e+00
  2   20 2.15149e+00
  2   22 1.91769e+00
  2   24 1.68792e+00
  2   26 1.48777e+00
  2   28 1.35938e+00
  2   30 1.27358e+00
  2   32 1.19732e+00
  2   34 1.08646e+00
  2   36 9.62870e-01
  2   38 8.84231e-01
  2   40 8.54238e-01
  2   42 8.00820e-01
  2   44 6.86694e-01
  2   46 6.15001e-01
  2   48 5.74601e-01
  2   50 5.54930e-01
  2   52 4.85252e-01
  2   54 3.61770e-01
  3    1 1.34081e+01
  3    3 3.02077e+02
  3    5 2.63206e+01
  3    7 1.14387e+01
  3    9 8.03033e+00
  3   11 5.97959e+00
  3   13 4.41385e+00
  3   15 3.73007e+00
  3   17 3.11527e+00
  3   19 2.35585e+00
  3   21 2.00095e+00
  3   23 1.86674e+00
  3   25 1.62775e+00
  3   27 1.42718e+00
  3   29 1.31292e+00
  3   31 1.21574e+00
  3   33 1.14396e+00
  3   35 1.04377e+00
  3   37 9.46465e-01
  3   39 8.61519e-01
  3   41 8.13953e-01
  3   43 7.38825e-01
  3   45 6.49158e-01
  3   47 5.98050e-01
  3   49 5.67516e-01
  3   51 5.22977e-01
  3   53 4.25872e-01
  3   55 2.59886e-01
  4    0 1.75928e+00
  4    2 1.56929e+01
  4    4 3.03012e+02
  4    6 2.48404e+01
  4    8 1.08897e+01
  4   10 7.65757e+00
  4   12 5.50787e+00
  4   14 4.15499e+00
  4   16 3.53544e+00
  4   18 2.83434e+00
  4   20 2.21420e+00
  4   22 1.95422e+00
  4   24 1.78353e+00
  4   26 1.55641e+00
  4   28 1.39904e+00
  4   30 1.26810e+00
  4   32 1.17432e+00
  4   34 1.10337e+00
  4   36 1.02018e+00
  4   38 9.21542e-01
  4   40 8.45071e-01
  4   42 7.83814e-01
  4   44 6.98071e-01
  4   46 6.45579e-01
  4   48 5.87800e-01
  4   50 5.57307e-01
  4   52 4.80967e-01
  4   54 3.67941e-01
  5    1 3.79590e+00
  5    3 1.68453e+01
  5    5 3.03901e+02
  5    7 2.39040e+01
  5    9 1.04706e+01
  5   11 7.17495e+00
  5   13 5.21211e+00
  5   15 3.96043e+00
  5   17 3.24709e+00
  5   19 2.65895e+00
  5   21 2.15909e+00
  5   23 1.86248e+00
  5   25 1.68903e+00
  5   27 1.50825e+00
  5   29 1.35698e+00
  5   31 1.22976e+00
  5   33 1.14495e+00
  5   35 1.06731e+00
  5   37 9.82327e-01
  5   39 8.87784e-01
  5   41 8.14991e-01
  5   43 7.43948e-01
  5   45 6.71599e-01
  5   47 6.24563e-01
  5   49 5.67421e-01
  5   51 5.22485e-01
  5   53 4.30039e-01
  5   55 2.67216e-01
  6    0 8.59971e-01
  6    2 4.89037e+00
  6    4 1.73179e+01
  6    6 3.05305e+02
  6    8 2.31468e+01
  6   10 9.98310e+00
  6   12 6.85499e+00
  6   14 4.98295e+00
  6   16 3.69397e+00
  6   18 3.06214e+00
  6   20 2.57834e+00
  6   22 2.06686e+00
  6   24 1.76517e+00
  6   26 1.62923e+00
  6   28 1.47589e+00
  6   30 1.33540e+00
  6   32 1.20735e+00
  6   34 1.10573e+00
  6   36 1.02976e+00
  6   38 9.57452e-01
  6   40 8.73974e-01
  6   42 7.98909e-01
  6   44 7.24131e-01
  6   46 6.66061e-01
  6   48 6.05143e-01
  6   50 5.55561e-01
  6   52 4.86079e-01
  6   54 3.76949e-01
  7    1 1.98059e+00
  7    3 5.41331e+00
  7    5 1.76756e+01
  7    7 3.06848e+02
  7    9 2.23304e+01
  7   11 9.63769e+00
  7   13 6.58302e+00
  7   15 4.68543e+00
  7   17 3.52498e+00
  7   19 2.95453e+00
  7   21 2.45389e+00
  7   23 1.96674e+00
  7   25 1.70511e+00
  7   27 1.57501e+00
  7   29 1.44351e+00
  7   31 1.30223e+00
  7   33 1.17095e+00
  7   35 1.07553e+00
  7   37 9.99597e-01
  7   39 9.16123e-01
  7   41 8.35989e-01
  7   43 7.73002e-01
  7   45 7.11009e-01
  7   47 6.42158e-01
  7   49 5.68953e-01
  7   51 5.18429e-01
  7   53 4.40378e-01
  7   55 2.81717e-01
  8    0 4.86626e-01
  8    2 2.56942e+00
  8    4 5.86167e+00
  8    6 1.78715e+01
  8    8 3.08455e+02
  8   10 2.16685e+01
  8   12 9.35245e+00
  8   14 6.25582e+00
  8   16 4.48618e+00
  8   18 3.43169e+00
  8   20 2.81398e+00
  8   22 2.33196e+00
  8   24 1.90737e+00
  8   26 1.65748e+00
  8   28 1.54020e+00
  8   30 1.41448e+00
  8   32 1.26525e+00
  8   34 1.14856e+00
  8   36 1.06306e+00
  8   38 9.85865e-01
  8   40 8.88880e-01
  8   42 8.18681e-01
  8   44 7.64763e-01
  8   46 7.11071e-01
  8   48 6.22280e-01
  8   50 5.47738e-01
  8   52 4.86222e-01
  8   54 3.99538e-01
  9    1 1.09887e+00
  9    3 3.03328e+00
  9    5 6.17973e+00
  9    7 1.78234e+01
  9    9 2.66620e+02
  9   11 1.94739e+01
  9   13 8.43519e+00
  9   15 5.71288e+00
  9   17 4.15250e+00
  9   19 3.14125e+00
  9   21 2.55287e+00
  9   23 2.15234e+00
  9   25 1.78512e+00
  9   27 1.56724e+00
  9   29 1.44432e+00
  9   31 1.32269e+00
  9   33 1.19627e+00
  9   35 1.10373e+00
  9   37 1.02332e+00
  9   39 9.27146e-01
  9   41 8.33925e-01
  9   43 7.83125e-01
  9   45 7.33442e-01
  9   47 6.66234e-01
  9   49 5.79827e-01
  9   51 5.07557e-01
  9   53 4.38293e-01
  9   55 2.89287e-01
 10    0 2.61262e-01
 10    2 1.55523e+00
 10    4 3.37809e+00
 10    6 6.31700e+00
 10    8 1.77584e+01
 10   10 2.36487e+02
 10   12 1.70577e+01
 10   14 7.49014e+00
 10   16 5.15129e+00
 10   18 3.72642e+00
 10   20 2.77518e+00
 10   22 2.25698e+00
 10   24 1.90976e+00
 10   26 1.60202e+00
 10   28 1.38979e+00
 10   30 1.27776e+00
 10   32 1.18221e+00
 10   34 1.09286e+00
 10   36 1.00917e+00
 10   38 9.36352e-01
 10   40 8.38676e-01
 10   42 7.60331e-01
 10   44 7.20888e-01
 10   46 6.85654e-01
 10   48 5.96094e-01
 10   50 5.12083e-01
 10   52 4.49552e-01
 10   54 3.72537e-01
 11    1 6.90971e-01
 11    3 1.89158e+00
 11    5 3.54641e+00
 11    7 6.44229e+00
 11    9 1.63090e+01
 11   11 2.13610e+02
 11   13 1.51220e+01
 11   15 6.76131e+00
 11   17 4.68087e+00
 11   19 3.42589e+00
 11   21 2.54927e+00
 11   23 2.04880e+00
 11   25 1.74198e+00
 11   27 1.44545e+00
 11   29 1.22820e+00
 11   31 1.12855e+00
 11   33 1.04556e+00
 11   35 9.58978e-01
 11   37 8.76977e-01
 11   39 8.01605e-01
 11   41 7.11503e-01
 11   43 6.44262e-01
 11   45 6.08732e-01
 11   47 5.76736e-01
 11   49 4.82422e-01
 11   51 3.99617e-01
 11   53 3.40709e-01
 11   55 2.17304e-01
 12    0 2.02727e-01
 12    2 1.01939e+00
 12    4 2.07207e+00
 12    6 3.69907e+00
 12    8 6.53645e+00
 12   10 1.45466e+01
 12   12 1.95286e+02
 12   14 1.35224e+01
 12   16 6.02028e+00
 12   18 4.20260e+00
 12   20 3.15847e+00
 12   22 2.35386e+00
 12   24 1.88200e+00
 12   26 1.59711e+00
 12   28 1.30881e+00
 12   30 1.12694e+00
 12   32 1.04041e+00
 12   34 9.44111e-01
 12   36 8.47278e-01
 12   38 7.73297e-01
 12   40 7.08917e-01
 12   42 6.18077e-01
 12   44 5.55792e-01
 12   46 5.20115e-01
 12   48 4.65317e-01
 12   50 3.69303e-01
 12   52 2.88054e-01
 12   54 2.26343e-01
 13    1 5.36624e-01
 13    3 1.20927e+00
 13    5 2.23119e+00
 13    7 3.81105e+00
 13    9 6.11816e+00
 13   11 1.30967e+01
