# C+CO2(ji) -> C+CO2(jf) molscat cross sections, CS8_JMAX90 approx. (written on 08/06/2020); 
# E=32240.000000 (1/cm) = 3.99725052396 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0    0 1.44610e+02
  0    2 1.86927e+01
  0    4 5.51779e+00
  0    6 2.21992e+00
  0    8 1.59468e+00
  0   10 1.89434e+00
  0   12 1.28092e+00
  0   14 1.02110e+00
  0   16 1.13495e+00
  0   18 9.37220e-01
  0   20 7.58676e-01
  0   22 8.01214e-01
  0   24 7.26293e-01
  0   26 7.28262e-01
  0   28 6.76724e-01
  0   30 5.93710e-01
  0   32 7.25918e-01
  0   34 6.35595e-01
  0   36 7.80382e-01
  0   38 5.11139e-01
  0   40 5.82323e-01
  0   42 5.27364e-01
  0   44 6.26029e-01
  0   46 5.80827e-01
  0   48 6.76188e-01
  0   50 7.44583e-01
  0   52 6.96005e-01
  0   54 6.78534e-01
  0   56 5.68313e-01
  0   58 4.84147e-01
  0   60 4.94584e-01
  0   62 4.49614e-01
  0   64 3.80016e-01
  0   66 4.99837e-01
  0   68 5.43625e-01
  0   70 3.91386e-01
  0   72 3.83559e-01
  0   74 5.12445e-01
  0   76 3.80494e-01
  0   78 4.91044e-01
  0   80 4.22918e-01
  0   82 3.20766e-01
  0   84 4.27361e-01
  0   86 3.28973e-01
  0   88 3.71192e-01
  0   90 2.81861e-01
  1    1 1.52045e+02
  1    3 1.36467e+01
  1    5 4.10564e+00
  1    7 1.89340e+00
  1    9 1.74969e+00
  1   11 1.63462e+00
  1   13 1.17697e+00
  1   15 1.12315e+00
  1   17 1.06672e+00
  1   19 8.84903e-01
  1   21 8.00037e-01
  1   23 7.77571e-01
  1   25 7.68713e-01
  1   27 7.86074e-01
  1   29 6.74842e-01
  1   31 6.59034e-01
  1   33 6.47349e-01
  1   35 6.26131e-01
  1   37 6.05189e-01
  1   39 5.23283e-01
  1   41 5.48400e-01
  1   43 5.81379e-01
  1   45 6.60370e-01
  1   47 6.29520e-01
  1   49 6.99407e-01
  1   51 6.92822e-01
  1   53 6.65776e-01
