# 13C+CO2(ji) -> 13C+CO2(jf) molscat cross sections, CS8_JMAX90 approx. (written on 08/08/2023); 
# E=34240.000000 (1/cm) = 4.245218918745457 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  1    1 1.42850e+02
  1    3 1.85139e+01
  1    5 5.60886e+00
  1    7 2.22365e+00
  1    9 1.50592e+00
  1   11 1.77735e+00
  1   13 1.25575e+00
  1   15 1.08210e+00
  1   17 1.10775e+00
  1   19 9.97047e-01
  1   21 7.99574e-01
  1   23 7.31521e-01
  1   25 7.99433e-01
  1   27 6.26188e-01
  1   29 8.02264e-01
  1   31 6.67487e-01
  1   33 6.54426e-01
  1   35 5.29481e-01
  1   37 6.33041e-01
  1   39 4.87038e-01
  1   41 6.13373e-01
  1   43 5.24072e-01
  1   45 6.79478e-01
  1   47 5.77683e-01
  1   49 6.46396e-01
  1   51 6.85844e-01
  1   53 7.26790e-01
  1   55 6.04348e-01
  1   57 5.67518e-01
  1   59 5.95998e-01
  1   61 4.36995e-01
  1   63 4.67274e-01
  1   65 4.06652e-01
  1   67 5.17703e-01
  1   69 4.61784e-01
  1   71 4.61979e-01
  1   73 4.22437e-01
  1   75 5.55517e-01
  1   77 3.79291e-01
  1   79 5.12324e-01
  1   81 4.87795e-01
  1   83 2.86459e-01
  1   85 3.18780e-01
  1   87 4.05060e-01
  1   89 3.99965e-01
  1   91 3.30772e-01
  2    2 1.50233e+02
  2    4 1.35683e+01
  2    6 4.11914e+00
  2    8 1.96842e+00
  2   10 1.67151e+00
  2   12 1.56827e+00
  2   14 1.13526e+00
  2   16 1.11330e+00
  2   18 1.02502e+00
  2   20 9.23855e-01
  2   22 8.26891e-01
  2   24 7.99403e-01
  2   26 7.56238e-01
  2   28 7.07754e-01
  2   30 7.40752e-01
  2   32 6.41276e-01
  2   34 6.29005e-01
  2   36 5.69730e-01
  2   38 5.47442e-01
  2   40 5.33435e-01
  2   42 5.98353e-01
  2   44 6.12185e-01
  2   46 6.83029e-01
  2   48 6.42677e-01
  2   50 6.91743e-01
  2   52 6.86194e-01
  2   54 6.23171e-01
  2   56 5.70136e-01
  2   58 5.07321e-01
  2   60 5.57235e-01
  2   62 4.38559e-01
  2   64 4.49726e-01
  2   66 5.00325e-01
  2   68 5.46475e-01
  2   70 5.32455e-01
  2   72 4.60109e-01
  2   74 3.59856e-01
  2   76 3.58521e-01
  2   78 4.88842e-01
  2   80 3.99906e-01
  2   82 3.91784e-01
  2   84 3.87725e-01
  2   86 4.26804e-01
  2   88 3.85725e-01
  2   90 3.59206e-01
  3    1 3.70303e+00
  3    3 1.49697e+02
  3    5 1.16818e+01
  3    7 3.60538e+00
  3    9 1.97409e+00
  3   11 1.54428e+00
  3   13 1.46457e+00
  3   15 1.20629e+00
  3   17 9.98644e-01
  3   19 1.04392e+00
  3   21 8.41343e-01
  3   23 8.37934e-01
  3   25 7.35244e-01
  3   27 7.82081e-01
  3   29 6.84307e-01
  3   31 7.36533e-01
  3   33 6.08472e-01
  3   35 6.54955e-01
  3   37 5.73511e-01
  3   39 5.49078e-01
  3   41 5.82441e-01
  3   43 5.41199e-01
  3   45 6.75880e-01
  3   47 6.25576e-01
  3   49 6.60232e-01
  3   51 6.54232e-01
  3   53 6.67398e-01
  3   55 6.51155e-01
  3   57 5.27357e-01
  3   59 4.99173e-01
  3   61 4.63456e-01
  3   63 4.48103e-01
  3   65 4.33038e-01
  3   67 4.80798e-01
  3   69 4.47059e-01
  3   71 4.69591e-01
  3   73 4.25336e-01
  3   75 5.01273e-01
  3   77 3.93554e-01
  3   79 4.71119e-01
  3   81 4.36968e-01
  3   83 3.14657e-01
  3   85 3.79804e-01
  3   87 3.90681e-01
  3   89 4.03039e-01
  3   91 3.33785e-01
  4    2 5.81563e+00
  4    4 1.49282e+02
  4    6 1.08219e+01
  4    8 3.51754e+00
  4   10 1.83358e+00
  4   12 1.44278e+00
  4   14 1.41507e+00
  4   16 1.12422e+00
  4   18 9.64659e-01
  4   20 1.00861e+00
  4   22 8.43012e-01
  4   24 8.10091e-01
  4   26 7.67545e-01
  4   28 7.35826e-01
  4   30 6.95936e-01
  4   32 6.66458e-01
  4   34 6.50073e-01
  4   36 5.82988e-01
  4   38 5.66907e-01
  4   40 5.54472e-01
  4   42 5.91847e-01
  4   44 5.81494e-01
  4   46 7.11303e-01
  4   48 6.78653e-01
  4   50 6.85685e-01
  4   52 6.44643e-01
  4   54 6.09387e-01
  4   56 5.73807e-01
  4   58 5.49848e-01
  4   60 5.29515e-01
  4   62 4.43748e-01
  4   64 4.68452e-01
  4   66 4.93710e-01
  4   68 5.55426e-01
  4   70 4.83357e-01
  4   72 4.37301e-01
  4   74 4.37338e-01
  4   76 4.06595e-01
  4   78 4.34386e-01
  4   80 3.65852e-01
  4   82 3.64030e-01
  4   84 4.46026e-01
  4   86 4.01498e-01
  4   88 3.54509e-01
  4   90 4.15354e-01
  5    1 6.23348e-01
  5    3 6.49091e+00
  5    5 1.49100e+02
  5    7 1.04952e+01
  5    9 3.31332e+00
  5   11 1.74374e+00
  5   13 1.45590e+00
  5   15 1.33962e+00
  5   17 1.07165e+00
  5   19 9.72563e-01
  5   21 9.23052e-01
  5   23 8.21218e-01
  5   25 7.63862e-01
  5   27 7.73113e-01
  5   29 7.12729e-01
  5   31 6.90128e-01
  5   33 6.79361e-01
  5   35 6.27735e-01
  5   37 5.77980e-01
  5   39 5.44397e-01
  5   41 6.23793e-01
  5   43 5.52736e-01
  5   45 6.42628e-01
  5   47 6.30979e-01
  5   49 7.13226e-01
  5   51 6.37823e-01
  5   53 6.54997e-01
  5   55 5.96394e-01
  5   57 5.86496e-01
  5   59 5.24886e-01
  5   61 4.97682e-01
