# 13C+CO2(ji) -> 13C+CO2(jf) molscat cross sections, CS8_JMAX90 approx. (written on 08/08/2023); 
# E=36240.000000 (1/cm) = 4.49318731353199 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  1    1 1.42129e+02
  1    3 1.79316e+01
  1    5 5.41178e+00
  1    7 2.23087e+00
  1    9 1.46074e+00
  1   11 1.75848e+00
  1   13 1.30005e+00
  1   15 1.08914e+00
  1   17 1.08356e+00
  1   19 9.74675e-01
  1   21 8.11546e-01
  1   23 7.33039e-01
  1   25 7.67804e-01
  1   27 6.63989e-01
  1   29 8.10411e-01
  1   31 6.34408e-01
  1   33 6.48644e-01
  1   35 5.51861e-01
  1   37 6.40272e-01
  1   39 4.97047e-01
  1   41 5.95812e-01
  1   43 5.42764e-01
  1   45 6.75171e-01
  1   47 5.64823e-01
  1   49 6.76174e-01
  1   51 7.20928e-01
  1   53 6.70103e-01
  1   55 5.67648e-01
  1   57 5.15834e-01
  1   59 5.81644e-01
  1   61 4.25709e-01
  1   63 5.06059e-01
  1   65 4.13101e-01
  1   67 5.01498e-01
  1   69 4.76566e-01
  1   71 4.31417e-01
  1   73 4.27199e-01
  1   75 5.41869e-01
  1   77 4.68669e-01
  1   79 5.19361e-01
  1   81 3.93937e-01
  1   83 2.73799e-01
  1   85 3.11576e-01
  1   87 4.49275e-01
  1   89 3.29464e-01
  1   91 3.30766e-01
  2    2 1.49432e+02
  2    4 1.30895e+01
  2    6 4.03225e+00
  2    8 1.94191e+00
  2   10 1.65274e+00
  2   12 1.58508e+00
  2   14 1.17781e+00
  2   16 1.09837e+00
  2   18 1.02650e+00
  2   20 9.27880e-01
  2   22 7.97577e-01
  2   24 8.01729e-01
  2   26 7.62565e-01
  2   28 6.93892e-01
  2   30 7.28738e-01
  2   32 6.27598e-01
  2   34 6.17022e-01
  2   36 5.87732e-01
  2   38 5.39438e-01
  2   40 5.28305e-01
  2   42 6.19468e-01
  2   44 6.24303e-01
  2   46 6.77927e-01
  2   48 6.71888e-01
  2   50 6.77055e-01
  2   52 7.08732e-01
  2   54 5.82495e-01
  2   56 5.38691e-01
  2   58 4.81960e-01
  2   60 5.58001e-01
  2   62 4.53531e-01
  2   64 4.83088e-01
  2   66 4.93606e-01
  2   68 5.23006e-01
  2   70 5.14660e-01
  2   72 4.82663e-01
  2   74 3.67964e-01
  2   76 4.13987e-01
  2   78 4.78011e-01
  2   80 3.69345e-01
  2   82 3.46558e-01
  2   84 4.03916e-01
  2   86 3.88262e-01
  2   88 3.76525e-01
  2   90 3.09962e-01
  3    1 3.58655e+00
  3    3 1.48744e+02
  3    5 1.13055e+01
  3    7 3.51972e+00
  3    9 1.96191e+00
  3   11 1.53382e+00
  3   13 1.45438e+00
  3   15 1.22084e+00
  3   17 9.94245e-01
  3   19 1.05162e+00
  3   21 8.37950e-01
  3   23 7.96107e-01
  3   25 7.47624e-01
  3   27 7.69268e-01
  3   29 6.97425e-01
  3   31 7.27849e-01
  3   33 6.11142e-01
  3   35 6.42391e-01
  3   37 5.89217e-01
  3   39 5.43642e-01
  3   41 6.10390e-01
  3   43 5.57338e-01
  3   45 6.62503e-01
  3   47 6.44997e-01
  3   49 6.69040e-01
  3   51 6.64949e-01
  3   53 6.38756e-01
  3   55 6.30062e-01
  3   57 4.86292e-01
  3   59 4.96069e-01
  3   61 4.64737e-01
  3   63 4.62898e-01
  3   65 4.37028e-01
  3   67 4.65122e-01
  3   69 4.40891e-01
  3   71 4.54317e-01
  3   73 4.39537e-01
  3   75 4.85937e-01
  3   77 4.20298e-01
  3   79 4.82359e-01
  3   81 3.93513e-01
  3   83 2.90108e-01
  3   85 3.78446e-01
  3   87 3.70389e-01
  3   89 4.05076e-01
  3   91 2.89927e-01
  4    2 5.61041e+00
  4    4 1.48594e+02
  4    6 1.04689e+01
  4    8 3.43074e+00
  4   10 1.83695e+00
  4   12 1.42319e+00
  4   14 1.41743e+00
  4   16 1.14506e+00
  4   18 9.55201e-01
  4   20 9.95499e-01
  4   22 8.38323e-01
  4   24 7.92650e-01
  4   26 7.73260e-01
  4   28 7.26721e-01
  4   30 6.97952e-01
  4   32 6.55300e-01
  4   34 6.48773e-01
  4   36 5.67880e-01
  4   38 5.74737e-01
  4   40 5.82122e-01
  4   42 6.11593e-01
  4   44 5.87084e-01
  4   46 7.26373e-01
  4   48 6.91097e-01
  4   50 6.82141e-01
  4   52 6.29938e-01
  4   54 6.02025e-01
  4   56 5.64326e-01
  4   58 5.14558e-01
  4   60 5.39899e-01
  4   62 4.49471e-01
  4   64 4.82347e-01
  4   66 4.88946e-01
  4   68 5.58187e-01
  4   70 4.59005e-01
  4   72 4.44631e-01
  4   74 4.48548e-01
  4   76 3.96528e-01
  4   78 4.57100e-01
  4   80 3.27962e-01
  4   82 3.56933e-01
  4   84 4.39741e-01
  4   86 3.67277e-01
  4   88 3.39295e-01
  4   90 3.79231e-01
  5    1 6.01439e-01
  5    3 6.28177e+00
  5    5 1.48262e+02
  5    7 1.01550e+01
  5    9 3.24263e+00
  5   11 1.72965e+00
  5   13 1.45052e+00
  5   15 1.32301e+00
  5   17 1.09094e+00
  5   19 9.74131e-01
  5   21 9.02225e-01
  5   23 8.37707e-01
  5   25 7.66119e-01
  5   27 7.61800e-01
  5   29 7.14448e-01
  5   31 6.93251e-01
  5   33 6.72562e-01
  5   35 6.09850e-01
  5   37 5.89066e-01
  5   39 5.53084e-01
  5   41 6.36793e-01
  5   43 5.56204e-01
  5   45 6.43023e-01
  5   47 6.49499e-01
  5   49 7.19440e-01
  5   51 6.23919e-01
  5   53 6.36946e-01
  5   55 5.97626e-01
  5   57 5.46349e-01
  5   59 5.30992e-01
  5   61 4.84324e-01
  5   63 4.82413e-01
  5   65 4.10843e-01
  5   67 4.96236e-01
  5   69 4.74538e-01
  5   71 4.82666e-01
  5   73 4.77981e-01
  5   75 4.56772e-01
  5   77 3.71959e-01
  5   79 4.50031e-01
  5   81 3.69110e-01
  5   83 3.36682e-01
  5   85 3.67492e-01
  5   87 4.00769e-01
  5   89 3.64477e-01
  5   91 3.28336e-01
  6    2 1.10004e+00
  6    4 6.66330e+00
  6    6 1.48602e+02
  6    8 9.82636e+00
  6   10 3.09968e+00
  6   12 1.71755e+00
  6   14 1.39035e+00
  6   16 1.31385e+00
  6   18 1.06282e+00
  6   20 9.39083e-01
  6   22 9.20184e-01
  6   24 8.34013e-01
  6   26 7.72581e-01
  6   28 7.42915e-01
  6   30 7.13609e-01
  6   32 7.05725e-01
  6   34 6.34836e-01
  6   36 5.79631e-01
  6   38 5.75152e-01
  6   40 5.90604e-01
  6   42 6.20926e-01
  6   44 6.11896e-01
  6   46 6.91051e-01
  6   48 6.89246e-01
  6   50 6.52468e-01
  6   52 6.19571e-01
  6   54 5.86986e-01
  6   56 5.38435e-01
  6   58 5.38636e-01
  6   60 5.37274e-01
  6   62 4.54503e-01
  6   64 4.63113e-01
  6   66 4.99056e-01
  6   68 5.19356e-01
  6   70 5.05062e-01
  6   72 5.00365e-01
  6   74 4.80870e-01
  6   76 3.92592e-01
  6   78 4.31574e-01
  6   80 3.68685e-01
  6   82 3.31515e-01
  6   84 4.01436e-01
  6   86 4.31525e-01
  6   88 3.56554e-01
  6   90 3.56365e-01
  7    1 1.71683e-01
  7    3 1.35426e+00
  7    5 7.03207e+00
  7    7 1.48372e+02
  7    9 9.64301e+00
  7   11 3.03445e+00
  7   13 1.66731e+00
  7   15 1.37068e+00
  7   17 1.27389e+00
  7   19 1.04116e+00
  7   21 9.02646e-01
  7   23 9.06088e-01
  7   25 8.05447e-01
  7   27 7.88528e-01
  7   29 7.01181e-01
  7   31 7.63174e-01
  7   33 6.59223e-01
  7   35 6.36483e-01
  7   37 5.89309e-01
  7   39 6.18380e-01
  7   41 6.20302e-01
  7   43 6.02664e-01
  7   45 6.24050e-01
  7   47 6.30415e-01
  7   49 6.71256e-01
  7   51 6.43802e-01
  7   53 6.32231e-01
  7   55 5.68419e-01
  7   57 5.41309e-01
  7   59 5.22994e-01
  7   61 5.14544e-01
  7   63 4.86764e-01
  7   65 4.31194e-01
  7   67 4.48259e-01
  7   69 5.16209e-01
  7   71 5.20573e-01
  7   73 4.64600e-01
  7   75 5.02225e-01
  7   77 3.65033e-01
  7   79 4.39198e-01
  7   81 3.53020e-01
  7   83 3.15558e-01
  7   85 3.78870e-01
  7   87 4.10250e-01
  7   89 3.67497e-01
  7   91 3.22842e-01
  8    2 3.88607e-01
  8    4 1.60177e+00
  8    6 7.20801e+00
  8    8 1.48534e+02
  8   10 9.45109e+00
  8   12 2.99403e+00
  8   14 1.62474e+00
  8   16 1.33684e+00
  8   18 1.25630e+00
  8   20 1.03392e+00
  8   22 8.93838e-01
  8   24 8.79487e-01
  8   26 8.05145e-01
  8   28 7.46876e-01
  8   30 7.42388e-01
  8   32 6.96514e-01
  8   34 6.62312e-01
  8   36 6.24924e-01
  8   38 6.27170e-01
  8   40 6.14230e-01
  8   42 6.17454e-01
  8   44 6.72272e-01
  8   46 6.68697e-01
  8   48 6.82507e-01
  8   50 6.49253e-01
  8   52 6.08074e-01
  8   54 6.14024e-01
  8   56 5.38546e-01
  8   58 5.71701e-01
  8   60 5.34111e-01
  8   62 4.77531e-01
  8   64 4.72948e-01
  8   66 4.67903e-01
  8   68 5.01181e-01
  8   70 5.22384e-01
  8   72 4.95393e-01
  8   74 5.05792e-01
  8   76 3.76812e-01
  8   78 4.23754e-01
  8   80 3.51893e-01
  8   82 3.09892e-01
  8   84 3.98584e-01
  8   86 4.30911e-01
  8   88 3.81961e-01
  8   90 3.55161e-01
  9    1 8.59927e-02
  9    3 5.77444e-01
  9    5 1.71765e+00
  9    7 7.37645e+00
  9    9 1.48418e+02
  9   11 9.40036e+00
  9   13 2.90614e+00
  9   15 1.58288e+00
  9   17 1.32355e+00
  9   19 1.21456e+00
  9   21 1.01363e+00
  9   23 9.24072e-01
  9   25 8.54479e-01
  9   27 7.96952e-01
  9   29 7.61861e-01
  9   31 6.85767e-01
  9   33 7.16776e-01
  9   35 6.38535e-01
  9   37 6.58104e-01
  9   39 6.17379e-01
  9   41 5.94229e-01
  9   43 6.41109e-01
  9   45 6.19712e-01
  9   47 6.55752e-01
  9   49 6.51187e-01
  9   51 6.18363e-01
  9   53 6.15912e-01
  9   55 5.59509e-01
  9   57 5.57083e-01
  9   59 5.49669e-01
  9   61 5.38657e-01
  9   63 4.79375e-01
  9   65 4.42561e-01
  9   67 4.80309e-01
  9   69 5.14668e-01
  9   71 5.46121e-01
  9   73 4.93024e-01
  9   75 4.68768e-01
  9   77 3.54887e-01
  9   79 3.89554e-01
  9   81 3.64634e-01
  9   83 3.23042e-01
  9   85 3.83105e-01
  9   87 4.10098e-01
  9   89 3.77140e-01
  9   91 3.53424e-01
 10    2 2.61207e-01
 10    4 6.77339e-01
 10    6 1.79571e+00
 10    8 7.46412e+00
 10   10 1.28827e+02
 10   12 8.79190e+00
 10   14 2.65510e+00
 10   16 1.42958e+00
 10   18 1.17210e+00
 10   20 1.08012e+00
 10   22 9.11440e-01
 10   24 8.12242e-01
 10   26 7.46356e-01
 10   28 7.33411e-01
 10   30 6.45974e-01
