# 13C+CO2(ji) -> 13C+CO2(jf) molscat cross sections, CS8_JMAX90 approx. (written on 08/08/2023); 
# E=24240.000000 (1/cm) = 3.0053769448127885 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  1    1 1.51522e+02
  1    3 2.20310e+01
  1    5 6.84253e+00
  1    7 2.46747e+00
  1    9 1.89224e+00
  1   11 1.70981e+00
  1   13 1.15649e+00
  1   15 1.21385e+00
  1   17 1.17108e+00
  1   19 1.01327e+00
  1   21 8.48805e-01
  1   23 8.25862e-01
  1   25 7.19981e-01
  1   27 6.48855e-01
  1   29 6.56263e-01
  1   31 8.28623e-01
  1   33 6.78582e-01
  1   35 6.18839e-01
  1   37 6.41877e-01
  1   39 5.20945e-01
  1   41 5.85187e-01
  1   43 5.79479e-01
  1   45 6.29257e-01
  1   47 5.82121e-01
  1   49 5.42337e-01
  1   51 6.81937e-01
  1   53 6.59626e-01
  1   55 6.81109e-01
  1   57 7.16019e-01
  1   59 5.42566e-01
  1   61 5.68509e-01
  1   63 5.31002e-01
  1   65 4.92909e-01
  1   67 3.75373e-01
  1   69 3.41267e-01
  1   71 4.42369e-01
  1   73 5.68259e-01
  1   75 3.49797e-01
  1   77 5.44074e-01
  1   79 4.12187e-01
  1   81 5.76403e-01
  1   83 4.46343e-01
  1   85 3.01380e-01
  1   87 5.14803e-01
  1   89 3.28091e-01
  1   91 6.15721e-01
  2    2 1.60123e+02
  2    4 1.63149e+01
  2    6 4.92485e+00
  2    8 2.14175e+00
  2   10 1.93627e+00
  2   12 1.45251e+00
  2   14 1.20159e+00
  2   16 1.13825e+00
  2   18 1.04561e+00
  2   20 9.21867e-01
  2   22 8.51974e-01
  2   24 8.06608e-01
  2   26 6.70842e-01
  2   28 7.66402e-01
  2   30 6.75390e-01
  2   32 7.89808e-01
  2   34 6.07664e-01
  2   36 6.38504e-01
  2   38 5.37186e-01
  2   40 5.63547e-01
  2   42 5.24873e-01
  2   44 5.52396e-01
  2   46 6.19425e-01
  2   48 6.01524e-01
  2   50 6.75090e-01
  2   52 6.16796e-01
  2   54 6.83011e-01
  2   56 7.05890e-01
  2   58 6.29518e-01
  2   60 5.72611e-01
  2   62 5.83177e-01
  2   64 5.47514e-01
  2   66 4.70271e-01
  2   68 4.36011e-01
  2   70 3.37409e-01
  2   72 5.08851e-01
  2   74 4.04737e-01
  2   76 5.68031e-01
  2   78 5.79095e-01
  2   80 3.90789e-01
  2   82 4.82502e-01
  2   84 3.70455e-01
  2   86 6.18388e-01
  2   88 3.22703e-01
  2   90 5.89058e-01
  3    1 4.40662e+00
  3    3 1.59592e+02
  3    5 1.38665e+01
  3    7 4.36204e+00
  3    9 2.15632e+00
  3   11 1.64328e+00
  3   13 1.44497e+00
  3   15 1.19399e+00
  3   17 1.07099e+00
  3   19 1.06101e+00
  3   21 9.10095e-01
  3   23 7.77320e-01
  3   25 7.81112e-01
  3   27 6.93120e-01
  3   29 7.27147e-01
  3   31 7.23649e-01
  3   33 6.41764e-01
  3   35 6.79940e-01
  3   37 6.18711e-01
  3   39 5.76222e-01
