# 13C+CO2(ji) -> 13C+CO2(jf) molscat cross sections, CS8_JMAX90 approx. (written on 08/08/2023); 
# E=33240.000000 (1/cm) = 4.12123472135219 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  1    1 1.43120e+02
  1    3 1.88169e+01
  1    5 5.68921e+00
  1    7 2.23445e+00
  1    9 1.52940e+00
  1   11 1.79477e+00
  1   13 1.23878e+00
  1   15 1.07406e+00
  1   17 1.12614e+00
  1   19 1.01807e+00
  1   21 7.86873e-01
  1   23 7.31107e-01
  1   25 7.86748e-01
  1   27 6.16777e-01
  1   29 7.94103e-01
  1   31 6.90031e-01
  1   33 6.53559e-01
  1   35 5.39911e-01
  1   37 6.20331e-01
  1   39 4.86776e-01
  1   41 6.05360e-01
  1   43 5.23415e-01
  1   45 6.75267e-01
  1   47 5.82932e-01
  1   49 6.62037e-01
  1   51 6.57136e-01
  1   53 7.29549e-01
  1   55 6.30149e-01
  1   57 5.87152e-01
  1   59 6.16633e-01
  1   61 4.39714e-01
  1   63 4.47624e-01
  1   65 4.00678e-01
  1   67 5.22048e-01
  1   69 4.67490e-01
  1   71 4.83187e-01
  1   73 4.31041e-01
  1   75 5.49186e-01
  1   77 3.38220e-01
  1   79 5.01672e-01
  1   81 5.24183e-01
  1   83 2.90263e-01
  1   85 3.31197e-01
  1   87 3.97176e-01
  1   89 4.08784e-01
  1   91 3.51023e-01
  2    2 1.50507e+02
  2    4 1.38093e+01
  2    6 4.17195e+00
  2    8 1.98545e+00
  2   10 1.68904e+00
  2   12 1.55524e+00
  2   14 1.12511e+00
  2   16 1.11158e+00
  2   18 1.03653e+00
  2   20 9.18637e-01
  2   22 8.33586e-01
  2   24 7.91088e-01
  2   26 7.49333e-01
  2   28 7.21775e-01
  2   30 7.37016e-01
  2   32 6.55772e-01
  2   34 6.35044e-01
  2   36 5.70428e-01
  2   38 5.41213e-01
  2   40 5.38258e-01
  2   42 5.90656e-01
  2   44 6.03158e-01
  2   46 6.81679e-01
  2   48 6.41865e-01
  2   50 7.06140e-01
  2   52 6.61648e-01
  2   54 6.31396e-01
  2   56 5.87276e-01
  2   58 5.32305e-01
  2   60 5.55619e-01
  2   62 4.31187e-01
  2   64 4.41915e-01
  2   66 4.90241e-01
  2   68 5.56066e-01
  2   70 5.43739e-01
  2   72 4.53803e-01
  2   74 3.67607e-01
  2   76 3.29203e-01
  2   78 4.89777e-01
  2   80 4.11889e-01
  2   82 4.10014e-01
  2   84 3.84994e-01
  2   86 4.44341e-01
  2   88 3.84220e-01
  2   90 3.98687e-01
  3    1 3.76365e+00
  3    3 1.50032e+02
  3    5 1.18762e+01
  3    7 3.65040e+00
  3    9 1.99183e+00
  3   11 1.55163e+00
  3   13 1.46915e+00
  3   15 1.20490e+00
  3   17 1.00189e+00
  3   19 1.04530e+00
  3   21 8.42034e-01
  3   23 8.46108e-01
  3   25 7.29617e-01
  3   27 7.88385e-01
  3   29 6.79632e-01
  3   31 7.44156e-01
  3   33 6.15192e-01
  3   35 6.59339e-01
  3   37 5.70219e-01
  3   39 5.49509e-01
  3   41 5.73298e-01
  3   43 5.26419e-01
  3   45 6.77740e-01
  3   47 6.18006e-01
  3   49 6.56796e-01
  3   51 6.50826e-01
  3   53 6.70573e-01
  3   55 6.58577e-01
  3   57 5.46696e-01
  3   59 5.12780e-01
  3   61 4.65116e-01
  3   63 4.33878e-01
  3   65 4.37011e-01
  3   67 4.79826e-01
  3   69 4.59399e-01
  3   71 4.83871e-01
  3   73 4.19323e-01
  3   75 5.10183e-01
  3   77 3.76391e-01
  3   79 4.57614e-01
  3   81 4.46968e-01
  3   83 3.29042e-01
  3   85 3.84238e-01
  3   87 4.12115e-01
  3   89 3.91909e-01
  3   91 3.62206e-01
  4    2 5.91896e+00
  4    4 1.49486e+02
  4    6 1.10065e+01
  4    8 3.56178e+00
  4   10 1.83725e+00
  4   12 1.45523e+00
  4   14 1.41418e+00
  4   16 1.11897e+00
  4   18 9.62607e-01
  4   20 1.01261e+00
  4   22 8.49247e-01
  4   24 8.11382e-01
  4   26 7.73003e-01
  4   28 7.37923e-01
  4   30 6.97642e-01
  4   32 6.73455e-01
  4   34 6.47896e-01
  4   36 5.87695e-01
  4   38 5.66576e-01
  4   40 5.44761e-01
  4   42 5.80095e-01
  4   44 5.81570e-01
  4   46 7.01048e-01
  4   48 6.73820e-01
  4   50 6.87018e-01
  4   52 6.48103e-01
  4   54 6.17078e-01
  4   56 5.73300e-01
  4   58 5.66306e-01
  4   60 5.28331e-01
  4   62 4.45644e-01
  4   64 4.56623e-01
  4   66 4.97457e-01
  4   68 5.51952e-01
  4   70 4.94383e-01
  4   72 4.39896e-01
  4   74 4.38326e-01
  4   76 4.01628e-01
  4   78 4.28812e-01
  4   80 3.77862e-01
  4   82 3.65787e-01
  4   84 4.46616e-01
  4   86 4.26995e-01
  4   88 3.66470e-01
  4   90 4.29215e-01
  5    1 6.32283e-01
  5    3 6.59898e+00
  5    5 1.49446e+02
  5    7 1.06671e+01
  5    9 3.34809e+00
  5   11 1.75690e+00
  5   13 1.46153e+00
  5   15 1.35065e+00
  5   17 1.06194e+00
  5   19 9.71667e-01
  5   21 9.32191e-01
  5   23 8.18749e-01
  5   25 7.58753e-01
  5   27 7.77182e-01
  5   29 7.09331e-01
  5   31 6.93157e-01
  5   33 6.84121e-01
  5   35 6.37863e-01
  5   37 5.68190e-01
  5   39 5.48153e-01
  5   41 6.12290e-01
  5   43 5.49824e-01
  5   45 6.47585e-01
  5   47 6.23171e-01
  5   49 7.02406e-01
  5   51 6.41435e-01
  5   53 6.64253e-01
  5   55 5.98278e-01
  5   57 5.97607e-01
  5   59 5.31423e-01
  5   61 5.04883e-01
  5   63 4.71552e-01
  5   65 4.10175e-01
  5   67 5.00910e-01
  5   69 4.65936e-01
  5   71 4.97461e-01
  5   73 4.36587e-01
  5   75 4.76977e-01
  5   77 3.66250e-01
  5   79 4.48523e-01
  5   81 4.10916e-01
  5   83 3.49966e-01
  5   85 4.06525e-01
  5   87 4.26450e-01
  5   89 3.83069e-01
  5   91 3.74825e-01
  6    2 1.13818e+00
  6    4 7.00563e+00
  6    6 1.49432e+02
  6    8 1.03059e+01
  6   10 3.21627e+00
  6   12 1.73168e+00
  6   14 1.39506e+00
  6   16 1.31644e+00
  6   18 1.04836e+00
  6   20 9.48751e-01
  6   22 9.30326e-01
  6   24 8.05246e-01
  6   26 7.92732e-01
  6   28 7.58478e-01
  6   30 7.03208e-01
  6   32 7.22780e-01
  6   34 6.44011e-01
  6   36 5.96382e-01
  6   38 5.49643e-01
  6   40 5.86848e-01
  6   42 5.84330e-01
  6   44 6.23425e-01
  6   46 6.71778e-01
  6   48 6.45407e-01
  6   50 6.81744e-01
  6   52 6.44203e-01
  6   54 6.06120e-01
  6   56 5.33687e-01
  6   58 5.77765e-01
  6   60 5.49041e-01
  6   62 4.72425e-01
  6   64 4.56193e-01
  6   66 4.96123e-01
  6   68 5.21525e-01
  6   70 5.10482e-01
  6   72 5.06211e-01
  6   74 4.64101e-01
  6   76 3.93949e-01
  6   78 4.50568e-01
  6   80 3.69899e-01
  6   82 3.42430e-01
  6   84 4.28338e-01
  6   86 4.81438e-01
  6   88 3.76253e-01
  6   90 3.95837e-01
  7    1 1.71966e-01
  7    3 1.40460e+00
  7    5 7.38684e+00
  7    7 1.49354e+02
  7    9 1.01106e+01
  7   11 3.15541e+00
  7   13 1.68377e+00
  7   15 1.39587e+00
  7   17 1.28306e+00
  7   19 1.04221e+00
  7   21 9.12872e-01
  7   23 8.98393e-01
  7   25 8.17532e-01
  7   27 7.72349e-01
  7   29 7.21881e-01
  7   31 7.66158e-01
  7   33 6.70074e-01
  7   35 6.48748e-01
  7   37 5.68470e-01
  7   39 6.05315e-01
  7   41 6.02715e-01
  7   43 5.88040e-01
  7   45 6.07999e-01
  7   47 6.25579e-01
  7   49 6.58370e-01
  7   51 6.39552e-01
  7   53 6.80540e-01
  7   55 5.67187e-01
  7   57 5.51084e-01
  7   59 5.32125e-01
  7   61 5.64547e-01
  7   63 4.86927e-01
  7   65 4.25949e-01
  7   67 4.58568e-01
  7   69 4.99199e-01
  7   71 5.15099e-01
  7   73 4.58311e-01
  7   75 4.96566e-01
  7   77 3.85836e-01
  7   79 4.43043e-01
  7   81 3.83609e-01
  7   83 3.32877e-01
  7   85 3.81331e-01
  7   87 4.43696e-01
  7   89 3.86823e-01
  7   91 3.77529e-01
  8    2 3.97342e-01
  8    4 1.66302e+00
  8    6 7.55997e+00
  8    8 1.49376e+02
  8   10 9.92890e+00
  8   12 3.08134e+00
  8   14 1.65142e+00
  8   16 1.34646e+00
  8   18 1.26670e+00
  8   20 1.01666e+00
  8   22 9.02089e-01
  8   24 8.97361e-01
  8   26 8.00824e-01
  8   28 7.57533e-01
  8   30 7.39494e-01
  8   32 7.02216e-01
  8   34 6.78755e-01
  8   36 6.21049e-01
  8   38 6.19124e-01
  8   40 6.10147e-01
  8   42 6.05541e-01
  8   44 6.46829e-01
  8   46 6.74668e-01
  8   48 6.61343e-01
  8   50 6.39974e-01
  8   52 6.41742e-01
  8   54 6.35307e-01
  8   56 5.19844e-01
  8   58 5.79090e-01
  8   60 5.33268e-01
  8   62 5.11534e-01
  8   64 4.54459e-01
  8   66 4.67811e-01
  8   68 5.02405e-01
  8   70 5.06402e-01
  8   72 4.93019e-01
  8   74 5.05045e-01
  8   76 3.99903e-01
  8   78 4.52416e-01
  8   80 3.64418e-01
  8   82 3.15457e-01
  8   84 4.10363e-01
  8   86 4.68986e-01
  8   88 3.99346e-01
  8   90 4.11569e-01
  9    1 9.00409e-02
  9    3 5.86286e-01
  9    5 1.77360e+00
  9    7 7.73440e+00
  9    9 1.49395e+02
  9   11 9.83014e+00
  9   13 3.02709e+00
  9   15 1.60228e+00
  9   17 1.33568e+00
  9   19 1.22537e+00
  9   21 1.00478e+00
  9   23 9.30983e-01
  9   25 8.62915e-01
  9   27 8.01691e-01
  9   29 7.53046e-01
  9   31 6.97206e-01
  9   33 7.31309e-01
  9   35 6.25284e-01
  9   37 6.55674e-01
  9   39 6.07555e-01
  9   41 5.95402e-01
  9   43 6.11072e-01
  9   45 6.13643e-01
  9   47 6.58018e-01
  9   49 6.35895e-01
  9   51 6.21844e-01
  9   53 6.41700e-01
  9   55 5.74992e-01
  9   57 5.52968e-01
  9   59 5.51578e-01
  9   61 5.74993e-01
  9   63 4.92269e-01
  9   65 4.44031e-01
  9   67 4.70398e-01
  9   69 5.18331e-01
  9   71 5.23835e-01
  9   73 4.92978e-01
  9   75 4.79845e-01
  9   77 3.82005e-01
  9   79 4.10717e-01
  9   81 3.88292e-01
  9   83 3.29160e-01
  9   85 3.99620e-01
  9   87 4.23340e-01
  9   89 3.78533e-01
  9   91 4.26559e-01
 10    2 2.66966e-01
 10    4 6.77502e-01
 10    6 1.86336e+00
 10    8 7.84174e+00
 10   10 1.29589e+02
 10   12 9.24759e+00
 10   14 2.74258e+00
 10   16 1.42966e+00
 10   18 1.18805e+00
 10   20 1.09769e+00
 10   22 9.01960e-01
 10   24 8.19275e-01
 10   26 7.62549e-01
 10   28 7.17263e-01
 10   30 6.59902e-01
 10   32 6.32018e-01
 10   34 6.18101e-01
 10   36 5.90972e-01
 10   38 5.96161e-01
 10   40 5.75602e-01
 10   42 5.60967e-01
 10   44 5.85341e-01
 10   46 5.95005e-01
 10   48 5.94625e-01
 10   50 5.55844e-01
 10   52 5.47038e-01
 10   54 5.59010e-01
 10   56 4.99722e-01
 10   58 5.53522e-01
 10   60 5.25748e-01
 10   62 4.96149e-01
 10   64 4.30442e-01
 10   66 4.56673e-01
 10   68 4.96171e-01
 10   70 4.86678e-01
 10   72 4.11508e-01
 10   74 4.97325e-01
 10   76 3.66452e-01
 10   78 4.01551e-01
 10   80 3.49039e-01
 10   82 2.73885e-01
 10   84 3.40388e-01
 10   86 4.17853e-01
 10   88 3.13942e-01
 10   90 4.03477e-01
 11    1 8.55757e-02
 11    3 3.69887e-01
 11    5 7.53755e-01
 11    7 1.95491e+00
 11    9 7.96129e+00
 11   11 1.14630e+02
 11   13 8.72792e+00
 11   15 2.53931e+00
 11   17 1.27797e+00
 11   19 1.04753e+00
 11   21 9.86838e-01
 11   23 8.13302e-01
 11   25 7.04021e-01
 11   27 6.92301e-01
 11   29 6.09034e-01
 11   31 5.68265e-01
 11   33 5.62422e-01
 11   35 5.39437e-01
 11   37 5.38912e-01
 11   39 5.37573e-01
 11   41 5.09340e-01
 11   43 5.35218e-01
 11   45 5.03215e-01
 11   47 5.55320e-01
 11   49 5.00190e-01
 11   51 4.82502e-01
 11   53 4.97748e-01
 11   55 4.87260e-01
 11   57 4.72609e-01
 11   59 4.79729e-01
 11   61 4.98539e-01
 11   63 4.08460e-01
 11   65 3.73754e-01
 11   67 4.05625e-01
 11   69 4.14057e-01
 11   71 4.07872e-01
 11   73 3.87024e-01
 11   75 3.94248e-01
 11   77 3.24491e-01
 11   79 3.23797e-01
 11   81 2.78220e-01
 11   83 2.63239e-01
 11   85 2.76072e-01
 11   87 3.57982e-01
 11   89 2.55491e-01
 11   91 3.37497e-01
 12    2 2.03168e-01
 12    4 4.43520e-01
 12    6 8.29191e-01
 12    8 2.01136e+00
 12   10 7.64308e+00
 12   12 1.02959e+02
 12   14 8.20669e+00
 12   16 2.41585e+00
 12   18 1.19548e+00
 12   20 9.47716e-01
 12   22 9.05055e-01
 12   24 7.43340e-01
 12   26 6.32834e-01
 12   28 6.26436e-01
 12   30 5.64577e-01
 12   32 5.36063e-01
 12   34 5.26950e-01
 12   36 4.86589e-01
 12   38 5.15124e-01
 12   40 5.05675e-01
 12   42 4.89349e-01
 12   44 4.84152e-01
 12   46 4.68713e-01
 12   48 4.53073e-01
 12   50 4.38045e-01
 12   52 4.19133e-01
 12   54 4.63861e-01
 12   56 4.17820e-01
 12   58 4.55928e-01
 12   60 4.24733e-01
 12   62 4.03599e-01
 12   64 3.58247e-01
 12   66 3.59346e-01
 12   68 3.75705e-01
 12   70 3.69471e-01
 12   72 3.45875e-01
 12   74 3.80363e-01
 12   76 2.89746e-01
 12   78 3.40400e-01
 12   80 2.53815e-01
 12   82 2.37026e-01
 12   84 2.25649e-01
 12   86 3.31802e-01
 12   88 2.40471e-01
 12   90 3.24699e-01
 13    1 4.96422e-02
 13    3 2.94349e-01
 13    5 5.26992e-01
 13    7 8.76736e-01
 13    9 2.06045e+00
 13   11 7.33542e+00
 13   13 9.36715e+01
 13   15 7.74002e+00
 13   17 2.30591e+00
 13   19 1.08236e+00
 13   21 8.62911e-01
 13   23 8.39367e-01
 13   25 6.58998e-01
 13   27 5.92025e-01
 13   29 5.68936e-01
 13   31 5.00143e-01
 13   33 4.77733e-01
 13   35 4.70334e-01
 13   37 4.70313e-01
 13   39 4.58416e-01
 13   41 4.76670e-01
 13   43 4.50480e-01
 13   45 4.13548e-01
 13   47 4.13790e-01
 13   49 3.92715e-01
 13   51 3.69714e-01
 13   53 3.69921e-01
 13   55 3.84661e-01
 13   57 3.92732e-01
 13   59 3.84826e-01
 13   61 3.82019e-01
 13   63 3.27180e-01
 13   65 3.11271e-01
 13   67 3.40858e-01
 13   69 3.13099e-01
 13   71 3.44888e-01
 13   73 2.80966e-01
 13   75 3.36213e-01
 13   77 2.51210e-01
 13   79 2.72425e-01
 13   81 2.55631e-01
 13   83 2.15191e-01
 13   85 2.04788e-01
 13   87 2.86859e-01
 13   89 2.10229e-01
 13   91 3.07997e-01
 14    2 1.25277e-01
 14    4 3.67372e-01
 14    6 5.69376e-01
 14    8 9.18816e-01
 14   10 1.93205e+00
 14   12 6.99500e+00
 14   14 8.59428e+01
 14   16 7.28515e+00
 14   18 2.17222e+00
 14   20 1.02684e+00
 14   22 7.97545e-01
 14   24 7.52593e-01
 14   26 6.11688e-01
 14   28 5.37044e-01
