# 13C+CO2(ji) -> 13C+CO2(jf) molscat cross sections, CS8_JMAX90 approx. (written on 08/08/2023); 
# E=37240.000000 (1/cm) = 4.617171510925258 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  1    1 1.42145e+02
  1    3 1.76281e+01
  1    5 5.31483e+00
  1    7 2.23027e+00
  1    9 1.44218e+00
  1   11 1.76250e+00
  1   13 1.30375e+00
  1   15 1.10061e+00
  1   17 1.06880e+00
  1   19 9.72607e-01
  1   21 8.15928e-01
  1   23 7.27004e-01
  1   25 7.44691e-01
  1   27 6.84055e-01
  1   29 7.88630e-01
  1   31 6.26137e-01
  1   33 6.48541e-01
  1   35 5.71850e-01
  1   37 6.43217e-01
  1   39 4.93577e-01
  1   41 6.03623e-01
  1   43 5.54646e-01
  1   45 6.73044e-01
  1   47 5.60724e-01
  1   49 7.08423e-01
  1   51 7.26833e-01
  1   53 6.38245e-01
  1   55 5.54861e-01
  1   57 5.06638e-01
  1   59 5.71361e-01
  1   61 4.15731e-01
  1   63 5.22600e-01
  1   65 4.06777e-01
  1   67 4.79814e-01
  1   69 5.13800e-01
  1   71 4.28391e-01
  1   73 4.33647e-01
  1   75 5.31210e-01
  1   77 4.93527e-01
  1   79 5.04129e-01
  1   81 3.61151e-01
  1   83 2.73431e-01
  1   85 3.01768e-01
  1   87 4.60316e-01
  1   89 3.06962e-01
  1   91 3.29624e-01
  2    2 1.49209e+02
  2    4 1.28625e+01
  2    6 3.99143e+00
  2    8 1.92812e+00
  2   10 1.65162e+00
  2   12 1.58495e+00
  2   14 1.19587e+00
  2   16 1.09527e+00
  2   18 1.03178e+00
  2   20 9.27882e-01
  2   22 7.83356e-01
  2   24 7.94350e-01
  2   26 7.61632e-01
  2   28 6.92856e-01
  2   30 7.20669e-01
  2   32 6.29559e-01
  2   34 6.16777e-01
  2   36 5.96693e-01
  2   38 5.30058e-01
  2   40 5.30016e-01
  2   42 6.35240e-01
  2   44 6.32682e-01
  2   46 6.65060e-01
  2   48 6.89966e-01
  2   50 6.84134e-01
  2   52 6.97734e-01
  2   54 5.61043e-01
  2   56 5.29277e-01
  2   58 4.78016e-01
  2   60 5.61224e-01
  2   62 4.61809e-01
  2   64 5.07019e-01
  2   66 4.75740e-01
  2   68 5.19679e-01
  2   70 5.11705e-01
  2   72 4.90948e-01
  2   74 3.86677e-01
  2   76 4.18804e-01
  2   78 4.76318e-01
  2   80 3.46601e-01
  2   82 3.31560e-01
  2   84 3.96013e-01
  2   86 3.69084e-01
  2   88 3.60894e-01
  2   90 3.00701e-01
  3    1 3.52585e+00
  3    3 1.48603e+02
  3    5 1.11298e+01
  3    7 3.47393e+00
  3    9 1.96182e+00
  3   11 1.52559e+00
  3   13 1.45447e+00
  3   15 1.22351e+00
  3   17 9.94429e-01
  3   19 1.04929e+00
  3   21 8.31133e-01
  3   23 7.83887e-01
  3   25 7.47834e-01
  3   27 7.68611e-01
  3   29 6.99554e-01
  3   31 7.19833e-01
  3   33 6.19078e-01
  3   35 6.36872e-01
  3   37 5.94241e-01
  3   39 5.48126e-01
  3   41 6.22476e-01
  3   43 5.66604e-01
  3   45 6.57184e-01
  3   47 6.57711e-01
  3   49 6.72900e-01
  3   51 6.76138e-01
  3   53 6.20201e-01
  3   55 6.23547e-01
  3   57 4.75168e-01
  3   59 5.00219e-01
  3   61 4.56812e-01
  3   63 4.63916e-01
  3   65 4.39524e-01
  3   67 4.56539e-01
  3   69 4.48133e-01
  3   71 4.50190e-01
  3   73 4.51602e-01
  3   75 4.78598e-01
  3   77 4.20871e-01
  3   79 4.81263e-01
  3   81 3.64110e-01
  3   83 2.79401e-01
  3   85 3.80151e-01
  3   87 3.63748e-01
  3   89 3.93509e-01
  3   91 2.81067e-01
  4    2 5.51309e+00
  4    4 1.48382e+02
  4    6 1.03025e+01
  4    8 3.39240e+00
  4   10 1.83462e+00
  4   12 1.42041e+00
  4   14 1.41419e+00
  4   16 1.15326e+00
  4   18 9.50604e-01
