# 13C+CO2(ji) -> 13C+CO2(jf) molscat cross sections, CS8_JMAX90 approx. (written on 08/08/2023); 
# E=27240.000000 (1/cm) = 3.377329536992589 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  1    1 1.46557e+02
  1    3 2.09207e+01
  1    5 6.32981e+00
  1    7 2.42184e+00
  1    9 1.70198e+00
  1   11 1.77683e+00
  1   13 1.15614e+00
  1   15 1.11451e+00
  1   17 1.12682e+00
  1   19 1.07619e+00
  1   21 7.91079e-01
  1   23 8.16549e-01
  1   25 7.15511e-01
  1   27 6.08536e-01
  1   29 7.14813e-01
  1   31 8.27497e-01
  1   33 6.40960e-01
  1   35 5.72357e-01
  1   37 5.83383e-01
  1   39 5.77446e-01
  1   41 5.66556e-01
  1   43 5.65013e-01
  1   45 7.22383e-01
  1   47 5.54115e-01
  1   49 5.82016e-01
  1   51 6.86260e-01
  1   53 7.59484e-01
  1   55 6.01598e-01
  1   57 6.25359e-01
  1   59 6.17727e-01
  1   61 5.64218e-01
  1   63 4.76345e-01
  1   65 4.04574e-01
  1   67 3.81735e-01
  1   69 3.52183e-01
  1   71 6.05111e-01
  1   73 5.96357e-01
  1   75 4.38654e-01
  1   77 3.65699e-01
  1   79 4.44389e-01
  1   81 3.76273e-01
  1   83 4.19758e-01
  1   85 4.44956e-01
  1   87 5.43061e-01
  1   89 4.18091e-01
  1   91 4.34142e-01
  2    2 1.54955e+02
  2    4 1.54637e+01
  2    6 4.61156e+00
  2    8 2.04659e+00
  2   10 1.84821e+00
  2   12 1.46351e+00
  2   14 1.18312e+00
  2   16 1.11119e+00
  2   18 1.01927e+00
  2   20 9.65086e-01
  2   22 8.24509e-01
  2   24 8.12229e-01
  2   26 7.03519e-01
  2   28 7.35368e-01
  2   30 7.26045e-01
  2   32 7.43226e-01
  2   34 6.07851e-01
  2   36 6.11899e-01
  2   38 5.50737e-01
  2   40 5.23797e-01
  2   42 5.56819e-01
  2   44 6.31216e-01
  2   46 5.96583e-01
  2   48 6.20792e-01
  2   50 6.56726e-01
  2   52 7.14793e-01
  2   54 6.39888e-01
  2   56 5.85871e-01
  2   58 6.68068e-01
  2   60 6.01727e-01
  2   62 5.25549e-01
  2   64 4.25759e-01
  2   66 4.44754e-01
  2   68 4.79954e-01
  2   70 4.37354e-01
  2   72 5.07411e-01
  2   74 4.70991e-01
  2   76 4.34863e-01
  2   78 4.52601e-01
  2   80 3.75983e-01
  2   82 3.86776e-01
  2   84 4.81742e-01
  2   86 5.97699e-01
  2   88 3.67661e-01
  2   90 5.31824e-01
  3    1 4.18449e+00
  3    3 1.54365e+02
  3    5 1.31393e+01
  3    7 4.06832e+00
  3    9 2.11276e+00
  3   11 1.56926e+00
  3   13 1.45750e+00
  3   15 1.22108e+00
  3   17 1.03728e+00
  3   19 1.06438e+00
  3   21 9.00572e-01
  3   23 7.88713e-01
  3   25 7.85638e-01
  3   27 7.20551e-01
  3   29 7.19556e-01
  3   31 7.41133e-01
  3   33 6.33934e-01
  3   35 6.89167e-01
  3   37 5.97747e-01
  3   39 5.68543e-01
  3   41 5.06179e-01
  3   43 5.64639e-01
  3   45 6.18914e-01
  3   47 5.65747e-01
  3   49 5.93530e-01
  3   51 6.50381e-01
  3   53 6.73687e-01
  3   55 6.33333e-01
  3   57 6.75768e-01
  3   59 6.01974e-01
  3   61 5.28007e-01
  3   63 4.58960e-01
  3   65 4.17664e-01
  3   67 4.05757e-01
  3   69 4.76604e-01
  3   71 4.92046e-01
  3   73 5.04264e-01
  3   75 4.84747e-01
  3   77 4.15829e-01
  3   79 3.78252e-01
  3   81 4.63369e-01
  3   83 3.53545e-01
  3   85 4.36632e-01
  3   87 5.11476e-01
  3   89 3.55378e-01
  3   91 5.56074e-01
  4    2 6.62825e+00
  4    4 1.53850e+02
  4    6 1.21994e+01
  4    8 3.90014e+00
  4   10 1.86869e+00
  4   12 1.54129e+00
  4   14 1.45866e+00
  4   16 1.08786e+00
  4   18 1.03903e+00
  4   20 9.94513e-01
  4   22 8.70469e-01
  4   24 7.94979e-01
  4   26 8.17032e-01
  4   28 7.43851e-01
  4   30 6.87035e-01
  4   32 7.03613e-01
  4   34 6.15032e-01
  4   36 6.67981e-01
  4   38 5.35987e-01
  4   40 5.28006e-01
  4   42 5.46132e-01
  4   44 5.67950e-01
  4   46 6.05806e-01
  4   48 6.55806e-01
  4   50 6.88999e-01
  4   52 6.19077e-01
  4   54 6.70075e-01
  4   56 6.19033e-01
  4   58 6.66106e-01
  4   60 5.43509e-01
  4   62 5.09046e-01
  4   64 4.24617e-01
  4   66 4.59516e-01
  4   68 5.51607e-01
  4   70 4.85046e-01
  4   72 4.37189e-01
  4   74 4.67793e-01
  4   76 4.58780e-01
  4   78 4.38237e-01
  4   80 4.04250e-01
  4   82 4.07834e-01
  4   84 3.94703e-01
  4   86 6.07502e-01
  4   88 3.48589e-01
  4   90 5.62617e-01
  5    1 7.03514e-01
  5    3 7.30109e+00
  5    5 1.53755e+02
  5    7 1.17585e+01
  5    9 3.67154e+00
  5   11 1.84705e+00
  5   13 1.51901e+00
  5   15 1.37029e+00
  5   17 1.05105e+00
  5   19 9.71000e-01
  5   21 9.70081e-01
  5   23 8.08316e-01
  5   25 7.62413e-01
  5   27 7.85720e-01
  5   29 6.83908e-01
  5   31 7.12649e-01
  5   33 6.67320e-01
  5   35 6.99905e-01
  5   37 5.97015e-01
  5   39 5.95283e-01
